mel_spectro_start,mel_spectro_end,mel_spectro_length,Speaker
0,954,954,5791
954,2107,1153,6498
2107,3377,1270,137588
3377,4505,1128,187018
4505,5530,1025,20410
5530,6582,1052,184264
6582,7884,1302,130093
7884,8896,1012,258974
8896,9855,959,137739
9855,10072,217,138488
10072,10586,514,8675
10586,11382,796,26853
11382,12493,1111,35921
12493,13728,1235,186230
13728,14737,1009,130533
14737,15898,1161,89388
15898,16973,1075,6398
16973,18172,1199,11258
18172,19382,1210,156968
19382,20517,1135,284434
20517,21725,1208,130977
21725,23004,1279,95441
23004,24107,1103,35926
24107,25165,1058,131218
25165,26363,1198,74797
26363,26596,233,158074
26596,27137,541,10344
27137,28353,1216,134636
28353,29534,1181,130131
29534,30115,581,129388
30115,30425,310,152825
30425,31628,1203,46588
31628,32826,1198,3587
32826,34075,1249,86045
34075,35094,1019,135020
35094,36318,1224,127696
36318,37363,1045,25563
37363,38488,1125,121541
38488,39627,1139,89894
39627,40739,1112,93470
40739,41902,1163,57837
41902,43164,1262,111574
43164,43540,376,146770
43540,44594,1054,39660
44594,45149,555,12539
45149,46373,1224,51162
46373,47608,1235,300047
47608,48861,1253,130974
48861,50203,1342,130900
50203,51404,1201,66622
51404,52430,1026,64738
52430,52667,237,140041
52667,53932,1265,31097
53932,54842,910,155972
54842,55215,373,86804
55215,56250,1035,34497
56250,57486,1236,176263
57486,58620,1134,258959
58620,59864,1244,55927
59864,60326,462,151817
60326,60928,602,4479
60928,62088,1160,104979
62088,62452,364,184447
62452,63665,1213,121541
63665,64829,1164,112593
64829,65476,647,58025
65476,66457,981,91902
66457,67268,811,164327
67268,68446,1178,152265
68446,69228,782,184448
69228,70320,1092,4662
70320,71501,1181,170453
71501,72772,1271,117095
72772,73941,1169,122827
73941,75105,1164,10172
75105,76205,1100,142896
76205,76722,517,32137
76722,77971,1249,56174
77971,79045,1074,39761
79045,80006,961,13364
80006,80266,260,131113
80266,81324,1058,128345
81324,82523,1199,129066
82523,83615,1092,126312
83615,84700,1085,107520
84700,85855,1155,39475
85855,87030,1175,121130
87030,88212,1182,5758
88212,89510,1298,55856
89510,90582,1072,138043
90582,91813,1231,150469
91813,92691,878,39481
92691,93913,1222,161972
93913,94170,257,129790
94170,95407,1237,110056
95407,96682,1275,7793
96682,97917,1235,171134
97917,99120,1203,134316
99120,99750,630,121068
99750,100801,1051,131276
100801,101476,675,176278
101476,101831,355,73961
101831,102239,408,98644
102239,103424,1185,141721
103424,103927,503,187005
103927,104159,232,139358
104159,105001,842,131226
105001,106234,1233,91072
106234,107349,1115,142318
107349,108398,1049,138042
108398,108986,588,61742
108986,110171,1185,44912
110171,111426,1255,136280
111426,112739,1313,127518
112739,113450,711,109658
113450,114723,1273,125128
114723,115223,500,41151
115223,115542,319,39970
115542,115715,173,72207
115715,116857,1142,121674
116857,117996,1139,112011
117996,119126,1130,156720
119126,120129,1003,44577
120129,121258,1129,53342
121258,122561,1303,10344
122561,123842,1281,169619
123842,125111,1269,187006
125111,126325,1214,132718
126325,127548,1223,141135
127548,128329,781,126829
128329,129314,985,109174
129314,130531,1217,5704
130531,131083,552,46890
131083,132264,1181,134420
132264,133125,861,11533
133125,134251,1126,121658
134251,135525,1274,151776
