mel_spectro_start,mel_spectro_end,mel_spectro_length,sentence,speaker
0,219,219,SA1,MTRC0
219,434,215,SX68,FETB0
434,727,293,SA1,MEFG0
727,902,175,SI1694,MGAR0
902,1232,330,SX346,MDKS0
1232,1686,454,SI1447,MCAE0
1686,1923,237,SX68,FECD0
1923,2114,191,SX238,MHRM0
2114,2339,225,SI793,FCRZ0
2339,2614,275,SX88,MPFU0
2614,2867,253,SI1806,MGSH0
2867,3042,175,SX130,MPRT0
3042,3294,252,SA2,MTXS0
3294,3456,162,SX30,MCSS0
3456,3728,272,SI2167,FMMH0
3728,3977,249,SX377,MTKD0
3977,4182,205,SX157,MLSH0
4182,4467,285,SX341,MRML0
4467,4678,211,SI2069,MDHL0
4678,4860,182,SI1374,MEDR0
4860,5083,223,SX144,MMAB1
5083,5312,229,SI1772,MHXL0
5312,5572,260,SX330,MWEM0
5572,5779,207,SA2,FSMA0
5779,6008,229,SX169,FVKB0
6008,6281,273,SI1324,MLJH0
6281,6447,166,SX111,MJPG0
6447,6653,206,SI2235,MJFR0
6653,6809,156,SX90,MAEB0
6809,7080,271,SX54,MTLB0
7080,7388,308,SI1113,MRMS0
7388,7614,226,SX345,MTML0
7614,7830,216,SX264,MDLC2
7830,7960,130,SX177,MMDB0
7960,8266,306,SA1,MEWM0
8266,8746,480,SI1306,MDLB0
8746,9089,343,SI1712,FSSB0
9089,9434,345,SX333,MJWS0
9434,9599,165,SX177,MKLS0
9599,9780,181,SX237,FJEN0
9780,9984,204,SI1907,MSMC0
9984,10223,239,SX351,MDSS0
10223,10415,192,SI1922,MCDC0
10415,10591,176,SX35,FSDJ0
10591,10812,221,SX397,FKSR0
10812,11092,280,SX156,FSLS0
11092,11294,202,SI1931,FSRH0
11294,11540,246,SA2,FMEM0
11540,11734,194,SX112,MGAF0
11734,11986,252,SX423,MDPK0
11986,12307,321,SX367,MRKM0
12307,12584,277,SX122,FJHK0
12584,12919,335,SX336,MSJK0
12919,13128,209,SX325,MRXB0
13128,13309,181,SI1925,MDWH0
13309,13559,250,SI2060,MDMA0
13559,13764,205,SX358,FCLT0
13764,14045,281,SX122,FJKL0
14045,14204,159,SX27,MHJB0
14204,14454,250,SX326,MKAM0
14454,14760,306,SI2268,MRAV0
14760,14992,232,SI668,MRJM1
14992,15302,310,SI651,MBEF0
15302,15381,79,SI1658,MJMD0
15381,15588,207,SI877,MJXA0
15588,15998,410,SI637,MRKM0
15998,16367,369,SX166,MDKS0
16367,16571,204,SI1119,MHMR0
16571,16819,248,SX288,MJPM0
16819,17080,261,SI1875,FEAC0
17080,17330,250,SX401,MJDA0
17330,17524,194,SA2,MWGR0
17524,17762,238,SX52,FSDC0
17762,17973,211,SI487,FKSR0
17973,18348,375,SI805,FRLL0
18348,18593,245,SX248,FECD0
18593,18764,171,SX30,FKKH0
18764,18967,203,SX79,MRSP0
18967,19214,247,SI1831,MJKR0
19214,19393,179,SX441,MMWS1
19393,19581,188,SI1067,MPSW0
19581,19971,390,SI1271,FDAW0
19971,20311,340,SI2150,MMLM0
20311,20524,213,SX131,FJXM0
20524,20775,251,SX164,FRLL0
20775,20947,172,SI1238,MDMA0
20947,21125,178,SI1668,MMAM0
21125,21384,259,SI907,FMMH0
21384,21642,258,SX395,MPRB0
21642,21837,195,SX419,MSES0
21837,22030,193,SX186,FALK0
22030,22260,230,SA2,FHLM0
22260,22437,177,SX248,MJHI0
22437,22794,357,SX435,MJFR0
22794,22956,162,SX307,MJAC0
22956,23227,271,SX329,MSAH1
23227,23522,295,SX178,MADD0
23522,23763,241,SA2,MWAR0
23763,24026,263,SX178,FCLT0
24026,24229,203,SX302,FJKL0
24229,24446,217,SA2,FMKF0
24446,24647,201,SI1728,FSKP0
24647,25009,362,SX335,MRDM0
25009,25209,200,SI681,MMDM0
25209,25578,369,SX153,MMDM1
25578,25955,377,SX175,FHXS0
25955,26148,193,SX22,FLMC0
26148,26514,366,SX220,MJDE0
26514,26738,224,SA2,FTLG0
26738,27118,380,SI796,MWSH0
27118,27319,201,SX261,MPRD0
27319,27503,184,SX114,MPGH0
27503,27676,173,SX303,FNTB0
27676,28016,340,SI1255,MJMM0
28016,28202,186,SI2156,MSAT0
28202,28451,249,SX255,MJFR0
28451,28682,231,SA2,MSDS0
28682,28847,165,SX127,FCYL0
28847,29130,283,SI1778,FETB0
29130,29418,288,SX442,FBCG1
29418,29690,272,SX342,MESG0
29690,30100,410,SA1,MSFH0
30100,30286,186,SX78,MDBP0
30286,30585,299,SA1,MLEL0
30585,30778,193,SX399,MHMR0
30778,31020,242,SX60,MRVG0
31020,31258,238,SI515,FGMB0
31258,31427,169,SI652,MGAF0
31427,31663,236,SX362,MWCH0
31663,31921,258,SX18,FDNC0
31921,32144,223,SX448,MKAH0
32144,32356,212,SI1944,FSMM0
32356,32608,252,SX431,MMPM0
32608,32791,183,SX322,MJDG0
32791,33021,230,SA2,FEAR0
33021,33218,197,SX397,FCJF0
