raw_start,raw_end,raw_length,Speaker
0,43623,43623,SA1
43623,86529,42906,SX68
86529,145000,58471,SA1
145000,179816,34816,SI1694
179816,245762,65946,SX346
245762,336489,90727,SI1447
336489,383696,47207,SX68
383696,421892,38196,SX238
421892,466744,44852,SI793
466744,521733,54989,SX88
521733,572217,50484,SI1806
572217,607033,34816,SX130
607033,657312,50279,SA2
657312,689671,32359,SX30
689671,743943,54272,SI2167
743943,793607,49664,SX377
793607,834465,40858,SX157
834465,891400,56935,SX341
891400,933487,42087,SI2069
933487,969737,36250,SI1374
969737,1014179,44442,SX144
1014179,1059850,45671,SI1772
1059850,1111767,51917,SX330
1111767,1153137,41370,SA2
1153137,1198808,45671,SX169
1198808,1253388,54580,SI1324
1253388,1286566,33178,SX111
1286566,1327629,41063,SI2235
1327629,1358759,31130,SX90
1358759,1412929,54170,SX54
1412929,1474369,61440,SI1113
1474369,1519528,45159,SX345
1519528,1562639,43111,SX264
1562639,1588547,25908,SX177
1588547,1649680,61133,SA1
1649680,1745527,95847,SI1306
1745527,1813931,68404,SI1712
1813931,1882847,68916,SX333
1882847,1915718,32871,SX177
1915718,1951866,36148,SX237
1951866,1992519,40653,SI1907
1992519,2040135,47616,SX351
2040135,2078433,38298,SI1922
2078433,2113454,35021,SX35
2113454,2157486,44032,SX397
2157486,2213294,55808,SX156
2213294,2253538,40244,SI1931
2253538,2302588,49050,SA2
2302588,2341193,38605,SX112
2341193,2391472,50279,SX423
2391472,2455472,64000,SX367
2455472,2510871,55399,SX122
2510871,2577739,66868,SX336
2577739,2619416,41677,SX325
2619416,2655564,36148,SI1925
2655564,2705433,49869,SI2060
2705433,2746393,40960,SX358
2746393,2802509,56116,SX122
2802509,2834253,31744,SX27
2834253,2884122,49869,SX326
2884122,2945255,61133,SI2268
2945255,2991540,46285,SI668
2991540,3053492,61952,SI651
3053492,3069262,15770,SI1658
3069262,3110632,41370,SI877
3110632,3192450,81818,SI637
3192450,3266076,73626,SX166
3266076,3306729,40653,SI1119
3306729,3356291,49562,SX288
3356291,3408413,52122,SI1875
3408413,3458282,49869,SX401
3458282,3496887,38605,SA2
3496887,3544299,47412,SX52
3544299,3586386,42087,SI487
3586386,3661343,74957,SI805
3661343,3710188,48845,SX248
3710188,3744288,34100,SX30
3744288,3784736,40448,SX79
3784736,3834093,49357,SI1831
3834093,3869831,35738,SX441
3869831,3907412,37581,SI1067
3907412,3985236,77824,SI1271
3985236,4053230,67994,SI2150
4053230,4095726,42496,SX131
4095726,4145800,50074,SX164
