file_name,file_path,speaker,MFCC_length
SA1.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTRC0/SA1.WAV,SA1,219
SX68.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FETB0/SX68.WAV,SX68,215
SA1.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MEFG0/SA1.WAV,SA1,293
SI1694.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MGAR0/SI1694.WAV,SI1694,175
SX346.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDKS0/SX346.WAV,SX346,330
SI1447.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MCAE0/SI1447.WAV,SI1447,454
SX68.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FECD0/SX68.WAV,SX68,237
SX238.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MHRM0/SX238.WAV,SX238,191
SI793.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FCRZ0/SI793.WAV,SI793,225
SX88.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MPFU0/SX88.WAV,SX88,275
SI1806.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MGSH0/SI1806.WAV,SI1806,253
SX130.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MPRT0/SX130.WAV,SX130,175
SA2.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTXS0/SA2.WAV,SA2,252
SX30.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MCSS0/SX30.WAV,SX30,162
SI2167.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FMMH0/SI2167.WAV,SI2167,272
SX377.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTKD0/SX377.WAV,SX377,249
SX157.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MLSH0/SX157.WAV,SX157,205
SX341.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRML0/SX341.WAV,SX341,285
SI2069.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDHL0/SI2069.WAV,SI2069,211
SI1374.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MEDR0/SI1374.WAV,SI1374,182
SX144.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MMAB1/SX144.WAV,SX144,223
SI1772.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MHXL0/SI1772.WAV,SI1772,229
SX330.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MWEM0/SX330.WAV,SX330,260
SA2.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FSMA0/SA2.WAV,SA2,207
SX169.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FVKB0/SX169.WAV,SX169,229
SI1324.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MLJH0/SI1324.WAV,SI1324,273
SX111.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MJPG0/SX111.WAV,SX111,166
SI2235.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MJFR0/SI2235.WAV,SI2235,206
SX90.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MAEB0/SX90.WAV,SX90,156
SX54.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTLB0/SX54.WAV,SX54,271
SI1113.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRMS0/SI1113.WAV,SI1113,308
SX345.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTML0/SX345.WAV,SX345,226
SX264.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDLC2/SX264.WAV,SX264,216
SX177.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MMDB0/SX177.WAV,SX177,130
SA1.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MEWM0/SA1.WAV,SA1,306
SI1306.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDLB0/SI1306.WAV,SI1306,480
SI1712.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FSSB0/SI1712.WAV,SI1712,343
SX333.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MJWS0/SX333.WAV,SX333,345
SX177.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MKLS0/SX177.WAV,SX177,165
SX237.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FJEN0/SX237.WAV,SX237,181
SI1907.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MSMC0/SI1907.WAV,SI1907,204
SX351.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDSS0/SX351.WAV,SX351,239
SI1922.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MCDC0/SI1922.WAV,SI1922,192
SX35.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FSDJ0/SX35.WAV,SX35,176
SX397.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FKSR0/SX397.WAV,SX397,221
SX156.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FSLS0/SX156.WAV,SX156,280
SI1931.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FSRH0/SI1931.WAV,SI1931,202
SA2.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FMEM0/SA2.WAV,SA2,246
SX112.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MGAF0/SX112.WAV,SX112,194
SX423.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDPK0/SX423.WAV,SX423,252
SX367.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRKM0/SX367.WAV,SX367,321
SX122.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FJHK0/SX122.WAV,SX122,277
SX336.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MSJK0/SX336.WAV,SX336,335
SX325.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRXB0/SX325.WAV,SX325,209
SI1925.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDWH0/SI1925.WAV,SI1925,181
SI2060.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDMA0/SI2060.WAV,SI2060,250
SX358.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FCLT0/SX358.WAV,SX358,205
SX122.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FJKL0/SX122.WAV,SX122,281
SX27.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MHJB0/SX27.WAV,SX27,159
SX326.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MKAM0/SX326.WAV,SX326,250
SI2268.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRAV0/SI2268.WAV,SI2268,306
SI668.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRJM1/SI668.WAV,SI668,232
SI651.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MBEF0/SI651.WAV,SI651,310
SI1658.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MJMD0/SI1658.WAV,SI1658,79
SI877.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MJXA0/SI877.WAV,SI877,207
SI637.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRKM0/SI637.WAV,SI637,410
SX166.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDKS0/SX166.WAV,SX166,369
